decade,count,artist_followers,order
'19,682,138480.03812316715,1
'10s,469,195061.1791044776,2
'00s,262,642437.7786259542,3
'90s,122,1620189.4098360655,4
'80s,50,317562.3,5
'70s,39,514983.5128205128,6
'60s,21,446493.95238095237,7
