decade,popularity,energy,length,danceability,valence,loudness,order
'19,30.244868035190617,88.89002932551304,3.2290174975562076,44.27897360703809,45.6216275659824,-4.809939882697946,1
'10s,31.46268656716418,85.33901918976552,3.4061281449893395,45.563539445629,49.46788912579956,-5.2022366737739825,2
'00s,35.87022900763359,86.47595419847329,3.4321189567430026,44.86526717557257,52.333244274809175,-5.346232824427482,3
'90s,30.352459016393443,88.29836065573767,2.8685371584699455,41.163934426229496,59.90819672131149,-6.331204918032788,4
'80s,40.62,85.79999999999998,2.5384183333333334,42.23400000000001,49.54719999999998,-8.633939999999999,5
'70s,31.17948717948718,79.4923076923077,3.690257264957265,44.42820512820512,60.923076923076955,-8.436230769230768,6
'60s,31.761904761904763,70.84285714285713,3.162175396825397,50.61904761904763,65.81428571428572,-9.393095238095238,7
